Version and EC Level,Total Number of Data Codewords for this Version and EC Level,EC Codewords Per Block,Number of Blocks in Group 1,Number of Data Codewords in Each of Group 1's Blocks,Number of Blocks in Group 2,Number of Data Codewords in Each of Group 2's Blocks,Total Data Codewords
31-Q,1033,30,42,24,1,25,1033
31-H,793,30,23,15,28,16,793
32-L,1955,30,17,115,,,1955
32-M,1541,28,10,46,23,47,1541
32-Q,1115,30,10,24,35,25,1115
32-H,845,30,19,15,35,16,845
33-L,2071,30,17,115,1,116,2071
33-M,1631,28,14,46,21,47,1631
33-Q,1171,30,29,24,19,25,1171
33-H,901,30,11,15,46,16,901
34-L,2191,30,13,115,6,116,2191
34-M,1725,28,14,46,23,47,1725
34-Q,1231,30,44,24,7,25,1231
34-H,961,30,59,16,1,17,961
35-L,2306,30,12,121,7,122,2306
35-M,1812,28,12,47,26,48,1812
35-Q,1286,30,39,24,14,25,1286
35-H,986,30,22,15,41,16,986
36-L,2434,30,6,121,14,122,2434
36-M,1914,28,6,47,34,48,1914
36-Q,1354,30,46,24,10,25,1354
36-H,1054,30,2,15,64,16,1054
37-L,2566,30,17,122,4,123,2566
37-M,1992,28,29,46,14,47,1992
37-Q,1426,30,49,24,10,25,1426
37-H,1096,30,24,15,46,16,1096
38-L,2702,30,4,122,18,123,2702
38-M,2102,28,13,46,32,47,2102
38-Q,1502,30,48,24,14,25,1502
38-H,1142,30,42,15,32,16,1142
39-L,2812,30,20,117,4,118,2812
39-M,2216,28,40,47,7,48,2216
39-Q,1582,30,43,24,22,25,1582
39-H,1222,30,10,15,67,16,1222
40-L,2956,30,19,118,6,119,2956
40-M,2334,28,18,47,31,48,2334
40-Q,1666,30,34,24,34,25,1666
40-H,1276,30,20,15,61,16,1276
